127.0.0.1, 2011-10-30 00:40:02, GET, /, HTTP/1.1, 303, 0.000970
127.0.0.1, 2011-10-30 00:40:22, GET, /welcome/default/index, HTTP/1.1, 200, 19.991946
127.0.0.1, 2011-10-30 00:40:22, GET, /welcome/static/css/handheld.css, HTTP/1.1, 200, 0.000631
127.0.0.1, 2011-10-30 00:40:22, GET, /welcome/static/js/jquery.js, HTTP/1.1, 200, 0.001035
127.0.0.1, 2011-10-30 00:40:22, GET, /welcome/static/js/modernizr-1.7.min.js, HTTP/1.1, 200, 0.000591
127.0.0.1, 2011-10-30 00:40:22, GET, /welcome/static/css/base.css, HTTP/1.1, 200, 0.000456
127.0.0.1, 2011-10-30 00:40:22, GET, /welcome/static/css/superfish.css, HTTP/1.1, 200, 0.001021
127.0.0.1, 2011-10-30 00:40:22, GET, /welcome/static/css/anytime.css, HTTP/1.1, 200, 0.002688
127.0.0.1, 2011-10-30 00:40:22, GET, /welcome/static/js/anytime.js, HTTP/1.1, 200, 0.000841
127.0.0.1, 2011-10-30 00:40:22, GET, /welcome/static/js/web2py_ajax.js, HTTP/1.1, 200, 0.000577
127.0.0.1, 2011-10-30 00:40:22, GET, /welcome/static/images/poweredby.png, HTTP/1.1, 200, 0.000930
127.0.0.1, 2011-10-30 00:40:22, GET, /welcome/static/js/superfish.js, HTTP/1.1, 200, 0.001934
127.0.0.1, 2011-10-30 00:40:22, GET, /welcome/static/favicon.ico, HTTP/1.1, 200, 0.000592
127.0.0.1, 2011-10-30 00:40:23, GET, /welcome/static/images/arrows-ffffff.png, HTTP/1.1, 200, 0.000567
127.0.0.1, 2011-10-30 00:40:23, GET, /welcome/static/images/shadow.png, HTTP/1.1, 200, 0.000320
127.0.0.1, 2011-10-30 00:46:02, GET, /admin/default/index, HTTP/1.1, 200, 1.515232
127.0.0.1, 2011-10-30 00:46:02, GET, /admin/static/css/calendar.css, HTTP/1.1, 200, 0.001304
127.0.0.1, 2011-10-30 00:46:02, GET, /admin/static/js/calendar.js, HTTP/1.1, 200, 0.001030
127.0.0.1, 2011-10-30 00:46:02, GET, /admin/static/plugin_multiselect/jquery.dimensions.js, HTTP/1.1, 200, 0.000843
127.0.0.1, 2011-10-30 00:46:02, GET, /admin/static/js/jquery.js, HTTP/1.1, 200, 0.002569
127.0.0.1, 2011-10-30 00:46:02, GET, /admin/static/plugin_multiselect/jquery.multiselect.js, HTTP/1.1, 200, 0.001621
127.0.0.1, 2011-10-30 00:46:02, GET, /admin/static/plugin_multiselect/jquery.multiselect.css, HTTP/1.1, 200, 0.001507
127.0.0.1, 2011-10-30 00:46:02, GET, /admin/static/css/styles.css, HTTP/1.1, 200, 0.000813
127.0.0.1, 2011-10-30 00:46:02, GET, /admin/static/plugin_multiselect/start.js, HTTP/1.1, 200, 0.000851
127.0.0.1, 2011-10-30 00:46:02, GET, /admin/static/js/web2py_ajax.js, HTTP/1.1, 200, 0.000476
127.0.0.1, 2011-10-30 00:46:04, GET, /admin/static/images/menu.png, HTTP/1.1, 200, 0.002760
127.0.0.1, 2011-10-30 00:46:04, GET, /admin/static/images/header_bg.png, HTTP/1.1, 200, 0.002531
127.0.0.1, 2011-10-30 00:46:04, GET, /admin/static/images/header_shadow.png, HTTP/1.1, 200, 0.003256
127.0.0.1, 2011-10-30 00:46:04, GET, /admin/static/images/start.png, HTTP/1.1, 200, 0.003348
127.0.0.1, 2011-10-30 00:46:04, GET, /admin/static/images/section_bullet.png, HTTP/1.1, 200, 0.003240
127.0.0.1, 2011-10-30 00:46:04, GET, /admin/static/images/sidebar_bullet.gif, HTTP/1.1, 200, 0.002971
127.0.0.1, 2011-10-30 00:46:12, GET, /favicon.ico, HTTP/1.1, 400, 0.000490
127.0.0.1, 2011-10-30 00:46:12, GET, /favicon.ico, HTTP/1.1, 400, 0.000612
127.0.0.1, 2011-10-30 00:46:34, POST, /admin/default/index, HTTP/1.1, 303, 0.026438
127.0.0.1, 2011-10-30 00:46:34, GET, /admin/default/site, HTTP/1.1, 200, 0.029942
127.0.0.1, 2011-10-30 00:46:35, GET, /admin/static/images/small_special_button.png, HTTP/1.1, 200, 0.000864
127.0.0.1, 2011-10-30 00:46:35, GET, /admin/static/images/sidebar_background.jpg, HTTP/1.1, 200, 0.000516
127.0.0.1, 2011-10-30 00:46:35, GET, /admin/static/images/small_button.png, HTTP/1.1, 200, 0.001246
127.0.0.1, 2011-10-30 00:46:35, GET, /admin/static/images/folder_locked.png, HTTP/1.1, 200, 0.003134
127.0.0.1, 2011-10-30 00:46:35, GET, /admin/static/images/folder.png, HTTP/1.1, 200, 0.000708
127.0.0.1, 2011-10-30 00:46:35, POST, /admin/default/check_version, HTTP/1.1, 200, 0.798853
127.0.0.1, 2011-10-30 00:46:36, GET, /admin/default/twitter, HTTP/1.1, 200, 1.267155
127.0.0.1, 2011-10-30 00:47:24, POST, /admin/default/site, HTTP/1.1, 303, 0.050435
127.0.0.1, 2011-10-30 00:47:25, GET, /admin/default/design/w2cms, HTTP/1.1, 200, 0.062330
127.0.0.1, 2011-10-30 00:47:25, GET, /admin/static/images/delete_icon.png, HTTP/1.1, 200, 0.000524
127.0.0.1, 2011-10-30 00:47:25, GET, /admin/static/images/search.png, HTTP/1.1, 200, 0.001798
127.0.0.1, 2011-10-30 00:47:25, GET, /admin/static/images/help.png, HTTP/1.1, 200, 0.000778
127.0.0.1, 2011-10-30 00:47:25, GET, /admin/static/images/test_icon.png, HTTP/1.1, 200, 0.000715
127.0.0.1, 2011-10-30 00:47:25, GET, /admin/static/images/folder_sm.png, HTTP/1.1, 200, 0.000431
127.0.0.1, 2011-10-30 00:47:30, GET, /w2cms/default/index, HTTP/1.1, 200, 0.190721
127.0.0.1, 2011-10-30 00:47:30, GET, /w2cms/static/css/handheld.css, HTTP/1.1, 200, 0.001848
127.0.0.1, 2011-10-30 00:47:30, GET, /w2cms/static/css/base.css, HTTP/1.1, 200, 0.001951
127.0.0.1, 2011-10-30 00:47:30, GET, /w2cms/static/js/anytime.js, HTTP/1.1, 200, 0.000653
127.0.0.1, 2011-10-30 00:47:30, GET, /w2cms/static/js/modernizr-1.7.min.js, HTTP/1.1, 200, 0.001636
127.0.0.1, 2011-10-30 00:47:30, GET, /w2cms/static/css/superfish.css, HTTP/1.1, 200, 0.000994
127.0.0.1, 2011-10-30 00:47:30, GET, /w2cms/static/css/anytime.css, HTTP/1.1, 200, 0.000338
127.0.0.1, 2011-10-30 00:47:30, GET, /w2cms/static/js/jquery.js, HTTP/1.1, 200, 0.002502
127.0.0.1, 2011-10-30 00:47:30, GET, /w2cms/static/js/superfish.js, HTTP/1.1, 200, 0.000474
127.0.0.1, 2011-10-30 00:47:30, GET, /w2cms/static/images/poweredby.png, HTTP/1.1, 200, 0.001047
127.0.0.1, 2011-10-30 00:47:30, GET, /w2cms/static/js/web2py_ajax.js, HTTP/1.1, 200, 0.000366
127.0.0.1, 2011-10-30 00:47:30, GET, /w2cms/static/favicon.ico, HTTP/1.1, 200, 0.000609
127.0.0.1, 2011-10-30 00:47:30, GET, /w2cms/static/images/arrows-ffffff.png, HTTP/1.1, 200, 0.000506
127.0.0.1, 2011-10-30 00:47:30, GET, /w2cms/static/images/shadow.png, HTTP/1.1, 200, 0.000452
